method,date,proportion_of_files_available,species,ten_minute,sixty_minute
weir,8/10/2017,0.83,sockeye,1897,2372
weir,8/11/2017,0.92,sockeye,2430,2011
weir,8/12/2017,1,sockeye,2642,2668
weir,8/13/2017,0.81,sockeye,5342,5543
weir,8/14/2017,1,sockeye,4404,4277
weir,8/15/2017,1,sockeye,2520,2593
weir,8/16/2017,1,sockeye,2418,2073
weir,8/17/2017,1,sockeye,3027,2711
weir,8/18/2017,0.9,sockeye,2828,2245
weir,8/19/2017,1,sockeye,2562,2328
weir,8/20/2017,1,sockeye,2529,2469
weir,8/21/2017,1,sockeye,2482,2107
weir,8/22/2017,1,sockeye,1560,1784
weir,8/23/2017,1,sockeye,1998,2290
weir,8/24/2017,1,sockeye,2610,2542
weir,8/25/2017,1,sockeye,834,900
weir,8/26/2017,1,sockeye,2616,2597
weir,8/27/2017,1,sockeye,2610,2215
weir,8/28/2017,1,sockeye,1894,1960
weir,8/29/2017,1,sockeye,2812,2599
weir,8/30/2017,1,sockeye,2690,2289
weir,8/31/2017,0.83,sockeye,3257,2706
weir,9/1/2017,0.66,sockeye,2239,2511
weir,9/2/2017,1,sockeye,2263,2089
weir,9/3/2017,1,sockeye,1405,1323
weir,9/4/2017,1,sockeye,774,1025
weir,9/5/2017,1,sockeye,1021,960
weir,9/6/2017,1,sockeye,764,772
weir,8/10/2017,0.83,Chinook,6,8
weir,8/11/2017,0.92,Chinook,6,12
weir,8/12/2017,1,Chinook,12,11
weir,8/13/2017,0.81,Chinook,0,12
weir,8/14/2017,1,Chinook,12,13
weir,8/15/2017,1,Chinook,12,9
weir,8/16/2017,1,Chinook,18,7
weir,8/17/2017,1,Chinook,0,6
weir,8/18/2017,0.9,Chinook,6,9
weir,8/19/2017,1,Chinook,1,4
weir,8/20/2017,1,Chinook,12,9
weir,8/21/2017,1,Chinook,0,2
weir,8/22/2017,1,Chinook,0,2
weir,8/23/2017,1,Chinook,0,3
weir,8/24/2017,1,Chinook,0,4
weir,8/25/2017,1,Chinook,1,2
weir,8/26/2017,1,Chinook,6,3
weir,8/27/2017,1,Chinook,0,6
weir,8/28/2017,1,Chinook,0,1
weir,8/29/2017,1,Chinook,0,5
weir,8/30/2017,1,Chinook,0,2
weir,8/31/2017,0.83,Chinook,0,3
weir,9/1/2017,0.66,Chinook,0,0
